Timestamp,Event,Person
2025-11-22 13:33:17,System Started,N/A
2025-11-22 13:33:20,Door Opened,mohit
2025-11-22 13:33:20,Authorized Access,mohit
2025-11-22 13:33:27,Door Locked,N/A
2025-11-22 13:33:27,System Stopped,N/A
2025-11-22 14:03:27,System Started,N/A
2025-11-22 14:03:31,Door Opened,mohit
2025-11-22 14:03:31,Authorized Access,mohit
2025-11-22 14:03:36,Door Locked,N/A
2025-11-22 14:03:36,System Stopped,N/A
2025-11-22 14:28:02,System Started,N/A
2025-11-22 14:28:23,Unknown Person Detected,N/A
2025-11-22 14:28:23,Unknown Person Detected,N/A
2025-11-22 14:28:24,Unknown Person Detected,N/A
2025-11-22 14:28:24,Unknown Person Detected,N/A
2025-11-22 14:28:25,Unknown Person Detected,N/A
2025-11-22 14:28:25,Unknown Person Detected,N/A
2025-11-22 14:28:26,Unknown Person Detected,N/A
2025-11-22 14:28:26,Unknown Person Detected,N/A
2025-11-22 14:28:27,Unknown Person Detected,N/A
2025-11-22 14:28:27,Unknown Person Detected,N/A
2025-11-22 14:28:29,Door Locked,N/A
2025-11-22 14:28:29,System Stopped,N/A
2025-11-22 14:35:16,System Started,N/A
2025-11-22 14:35:25,Unknown Person Detected,N/A
2025-11-22 14:35:26,Unknown Person Detected,N/A
2025-11-22 14:35:26,Unknown Person Detected,N/A
2025-11-22 14:35:27,Unknown Person Detected,N/A
2025-11-22 14:35:27,Unknown Person Detected,N/A
2025-11-22 14:35:28,Unknown Person Detected,N/A
2025-11-22 14:35:28,Unknown Person Detected,N/A
2025-11-22 14:35:34,Door Locked,N/A
2025-11-22 14:35:34,System Stopped,N/A
2025-11-22 14:47:48,System Started,N/A
2025-11-22 14:47:52,Door Opened,mohit
2025-11-22 14:47:56,Authorized Access,mohit
2025-11-22 14:47:57,Door Locked,N/A
2025-11-22 14:48:07,Unknown Person Detected,N/A
2025-11-22 14:48:15,Door Locked,N/A
2025-11-22 14:48:15,System Stopped,N/A
2025-11-22 15:20:52,System Started,N/A
2025-11-22 15:21:24,Unknown Person Detected,N/A
2025-11-22 15:21:36,Door Locked,N/A
2025-11-22 15:21:36,System Stopped,N/A
2025-11-22 16:57:18,System Started,N/A
2025-11-22 16:59:07,Unknown Person Detected,N/A
2025-11-22 16:59:13,Door Opened,mohit
2025-11-22 16:59:17,Authorized Access,mohit
2025-11-22 16:59:20,Door Locked,N/A
2025-11-22 16:59:20,System Stopped,N/A
2025-11-22 18:19:18,System Started,N/A
2025-11-22 18:19:22,Spoofing Attempt Detected,Mohit
2025-11-22 18:19:36,Door Locked,N/A
2025-11-22 18:19:36,System Stopped,N/A
2025-11-22 18:19:43,System Started,N/A
2025-11-22 18:19:47,Spoofing Attempt Detected,Mohit
2025-11-22 18:20:02,Door Locked,N/A
2025-11-22 18:20:02,System Stopped,N/A
2025-11-22 18:24:19,System Started,N/A
2025-11-22 18:24:24,Spoofing Attempt Detected,Mohit
2025-11-22 18:24:39,Door Locked,N/A
2025-11-22 18:24:39,System Stopped,N/A
2025-11-22 18:42:19,System Started,N/A
2025-11-22 18:42:23,Spoofing Attempt Detected,Mohit
2025-11-22 18:42:48,Door Locked,N/A
2025-11-22 18:42:48,System Stopped,N/A
2025-11-22 18:46:22,System Started,N/A
2025-11-22 18:46:28,Door Opened,Mohit
2025-11-22 18:46:28,Authorized Access,Mohit
2025-11-22 18:46:33,Door Locked,N/A
2025-11-22 18:46:55,Unknown Person Detected,N/A
2025-11-22 18:47:04,Door Locked,N/A
2025-11-22 18:47:04,System Stopped,N/A
2025-11-22 19:08:18,System Started,N/A
2025-11-22 19:08:22,Unknown Person Detected,No face detected for 3 consecutive attempts
2025-11-22 19:08:27,Unknown Person Detected,N/A
2025-11-22 19:08:31,Unknown Person Detected,No face detected for 3 consecutive attempts
